stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
"254122","254122","Worrigee House Reception Centre Worrigee Rd","-34.9078111695686","150.632300047469","","","0",""
"254112","254112","Nowra High School Moss St","-34.8717015486274","150.609376778441","","","0",""
"254172","254172","Princes Hwy Before Central Av","-34.9129453759591","150.60365702089","","","0",""
"254162","254162","Princes Hwy Near Hillcrest Av","-34.8983034190228","150.602086849542","","","0",""
"254142","254142","Illaroo Public School, Illaroo Rd","-34.8599960802001","150.589601499052","","","0",""
"2540317","2540317","Park Row Near Flora St","-34.911746924726","150.757277386388","","","0",""
"2540217","2540217","Jacobs Dr Near Teal Pl","-35.1579340601556","150.590950365581","","","0",""
"2099163","2099163","Carrington Av Near Toronto Av","-33.7322161682986","151.273271011392","","","0",""
"2088172","2088172","Avenue Rd Near Rangers Av","-33.8329367315953","151.236461469916","","","0",""
"2281163","2281163","Catherine St Near Beach St","-33.0911960322378","151.632375030198","","","0",""
"2151152","2151152","M2 - Barclay Rd Interchange","-33.764582389132","151.014358841248","","","0",""
"CR_683","","Kirrawee Station Platform 1","-34.0349994386484","151.071587158989","","PST1346","1","1"
"2280371","2280371","Crown St Near Green Point Dr","-33.0251938455934","151.644182335434","","","0",""
"CR_623","","Allawah Station Platform 2","-33.9695508049253","151.11424803912","","PST1338","1","2"
"CR_633","","Hurstville Station Platform 3","-33.9675215721098","151.1027197659","","PST1339","1","3"
"CR_603","","Banksia Station Platform 2","-33.9450889121691","151.140517951618","","PST1334","2","2"
"CR_673","","Sutherland Station Platform 3","-34.0317311574787","151.057361630432","","PST1345","1","3"
"276339","276339","Lalor Rd Near Farnham Rd","-33.7269317662004","150.891073853995","","","0",""
"276329","276329","Pye Rd Near Sherridon Cr","-33.7334125472434","150.902141424678","","","0",""
"276319","276319","Farnham Rd Near Ebb St","-33.7219926028701","150.898237659618","","","0",""
"276379","276379","Bali Dr Near Walker St","-33.717599344095","150.888969931869","","","0",""
"276369","276369","Lalor Rd Near Wilson Rd","-33.7302653329505","150.909041322809","","","0",""
"276359","276359","Chaplin Cr Near Quakers Rd","-33.7353743322448","150.88224453972","","","0",""
"276349","276349","Farnham Rd After Kennington Av","-33.7242118558286","150.905563556617","","","0",""
"2150140","2150140","St Marys Church Crimea St","-33.8229861485966","150.989246981455","","","0",""
"2540301","2540301","Piscator Av Near Greenwell St","-35.0150798128145","150.827346528821","","","0",""
"2540201","2540201","The Springs Rd Near Collier Dr","-35.1941841655765","150.562677172659","","","0",""
"2088244","2088244","The Esplanade Before Hunter Rd","-33.8243612482706","151.250783849879","","","0",""
"2099175","2099175","South Creek Rd Near Thew Pde","-33.736522614773","151.281842363205","","","0",""
"275230","275230","Twelfth St Near Weir Rd","-33.8862330596884","150.60651347111","","","0",""
"275220","275220","Econo Place Silverdale Rd Near Econo Pl","-33.8928097770615","150.616722160934","","","0",""
"CR_237","","Central Station Platform 6","-33.8834181318625","151.206011242623","","PST1100","1","6"
"CR_207","","International Airport Station Platform 1","-33.934570004797","151.165972452867","","PST1332","1","1"
"CR_247","","Central Station Platform 14","-33.8838090223022","151.206700234297","","PST1100","1","14"
"275240","275240","Silverdale Rd (Opp.Pineridge Rd)","-33.9544330695179","150.57675298978","","","0",""
"230384","230384","Fowler St Near Beaumont St","-32.9359098229826","151.743802782801","","","0",""
"230374","230374","Lawson St Near Jenner Pde","-32.9320564524441","151.747538116509","","","0",""
"230354","230354","Beaumont St Near Tudor St","-32.9243610294756","151.746901884467","","","0",""
"230344","230344","Beaumont St Near Tudor St","-32.9236610699942","151.746832383355","","","0",""
"219487","219487","Seventh Av At Fourth Av","-33.9052558978566","151.098000408077","","","0",""
"219417","219417","Beamish St Near North Pde","-33.9098528157767","151.103624116364","","","0",""
"2151146","2151146","Church St After Barney St","-33.7976658355643","151.002575859014","","","0",""
"219467","219467","Canterbury Rd Near Elizabeth St","-33.9204140120469","151.099267638768","","","0",""
"219457","219457","Beamish St Near Evaline St","-33.9126300064581","151.104103272624","","","0",""
"219447","219447","Thorncraft Pde Near Beaumont St","-33.9179714402996","151.098480386144","","","0",""
"2229124","2229124","Port Hacking Rd S Near Heather St","-34.0606944235506","151.120246105956","","","0",""
"2765194","2765194","Pitt Town Dural Rd Near Cattai Ridge Rd","-33.5873230969375","150.909496054276","","","0",""
"278318","278318","Great Western Hwy Opp Lawson Station","-33.7193034919671","150.430285600101","","","0",""
"2540135","2540135","Grange Rd Near Island Point Rd","-35.0715469039954","150.571932443152","","","0",""
"2099141","2099141","Alfred Near Raynor","-33.7455765360423","151.276674129902","","","0",""
"2122143","2122143","Balaclava Rd Near Koorong St","-33.7788527043333","151.105491398397","","","0",""
"2280317","2280317","Croudace Bay Rd Near Lindsay Av","-33.0155007448192","151.64370509372","","","0",""
"2280117","2280117","Wommara Av Near John Fisher Rd","-33.0218046370541","151.667368494839","","","0",""
"2280319","2280319","Ntaba Rd Opp Dalrymple St","-33.0135621604103","151.683206348359","","","0",""
"2280219","2280219","Tallawalla Rd Near Berringar Rd","-33.0083861446667","151.640027746312","","","0",""
"2280119","2280119","Floraville Rd Near Belmont Bus Depot","-33.0246564919687","151.661937208731","","","0",""
"2229132","2229132","Kingsway At Mackay St","-34.0431980254985","151.12396586127","","","0",""
"2765180","2765180","St John Rd Near","-33.5736316568907","150.929202562539","","","0",""
"2250892","2250892","Gosford Hospital, Racecourse Rd After Hospital Rd","-33.4185985451669","151.339513090715","","","0",""
"2250392","2250392","Brisbane Water Dr Near Tania Dr","-33.438136804392","151.324163894861","","","0",""
"2250292","2250292","Somersby Falls Rd Near Wisemans Ferry Rd","-33.4135807742114","151.287770783491","","","0",""
"2250192","2250192","Sunset St Near Rugby Cl","-33.3984364424735","151.35487826629","","","0",""
"2250692","2250692","Faunce St Near Young St","-33.4212280497584","151.330028223715","","","0",""
"276591","276591","Edwards Rd Near Hession Rd","-33.6606114447924","150.920593060269","","","0",""
"276581","276581","Richmond Rd Near Llandilo Rd","-33.6553625248451","150.794137966209","","","0",""
"2250492","2250492","Sherwood Dr At Willow Rd","-33.4294450356967","151.371805147367","","","0",""
"276531","276531","Riverstone Rd Near Railway Tce","-33.6862789236301","150.865361564198","","","0",""
"276521","276521","Crown St Near Brisbane Rd","-33.6692411985409","150.863541910247","","","0",""
"276511","276511","Bakers Landscape Supplies Richmond Rd","-33.7200717075557","150.844317775735","","","0",""
"276571","276571","Windsor Rd After Otago St","-33.6496446206067","150.862858775677","","","0",""
"276561","276561","Hobart St Near Wellington St","-33.6598624691561","150.876118235655","","","0",""
"276551","276551","Opp Riverstone Station, Riverstone Pde","-33.6793249131659","150.860953949386","","","0",""
"276541","276541","Crown St Near Piccadilly St","-33.670561427733","150.861380832573","","","0",""
"231695","231695","David Grahams Golf Complex, Nelson Bay Rd","-32.7696102206939","152.071079164407","","","0",""
"231685","231685","Marsh Rd Opp Cookabarra Restaurant","-32.7719257305276","151.980811056111","","","0",""
"231635","231635","Anna Bay IGA, Gan Gan Rd","-32.777706602602","152.082605360137","","","0",""
"231625","231625","348 Gan Gan Rd","-32.7787753161528","152.105650769688","","","0",""
"231615","231615","Frost Rd Before Gan Gan Rd","-32.7636988734691","152.111396237842","","","0",""
"231675","231675","Opp 464 Gan Gan Rd","-32.7709876730287","152.114841253477","","","0",""
"231655","231655","Opp 3551 Nelson Bay Rd","-32.779776754595","151.998020147619","","","0",""
"231645","231645","Bobs Farm Primary School, Marsh Rd","-32.766244716519","152.010725264312","","","0",""
"2220293","2220293","Gloucester Rd Before Lockundy Ln","-33.9585003726696","151.09305172731","","","0",""
"2122177","2122177","Threlfall St Near North Rd","-33.7855882517527","151.098853194268","","","0",""
"2280223","2280223","Lewers St Near Croudace Bay Rd","-33.0285706423222","151.650733392546","","","0",""
"256790","256790","Currans Hill Dr - Opp.No.2","-34.0456967932595","150.764368569837","","","0",""
"256780","256780","Main St (Mt Annan Market Place)","-34.0495682705032","150.758011732123","","","0",""
"256730","256730","Welling Dr (Opp.Banksia Rd)","-34.0598837606599","150.7578071435","","","0",""
"256720","256720","Richardson Rd (Opp.Welling Dr)","-34.0538884063625","150.735455569065","","","0",""
"256770","256770","Camden Valley Way (Opp.Turner Rd)","-34.0269793025145","150.755260861884","","","0",""
"256760","256760","Queen St (Hovell St)","-34.0465578214321","150.737959192417","","","0",""
"256750","256750","Welling Dr (Ephraim Howe Pl)","-34.0587101095593","150.748151397731","","","0",""
"256740","256740","Narellan Rd (Mt Annan Dr - Tims Garden Centre)","-34.0534360639544","150.771174605352","","","0",""
"2747398","2747398","115 Victoria St After Wrench St","-33.7565658247958","150.729407356149","","","0",""
"2747198","2747198","Dunheved Rd Near Francis St","-33.7474971477828","150.737827958892","","","0",""
"2747392","2747392","12 Sunflower Dr Opp Werona Av","-33.7701614145524","150.751492326623","","","0",""
"2747292","2747292","Fourth Av Near The Northern Rd","-33.6915182915014","150.728488689057","","","0",""
"2747192","2747192","Werrington Public School Heavey St","-33.7540157841618","150.745447555563","","","0",""
"2074153","2074153","Trentino Rd At Burns Rd","-33.7181233882758","151.137549801971","","","0",""
"2120113","2120113","Duffy Av After The Sanctuary","-33.7225891610743","151.075428091014","","","0",""
"2074159","2074159","Pacific Hwy At Duff St","-33.7329290504812","151.126474479351","","","0",""
"2287180","2287180","Douglas St Near Stapleton St","-32.8981830506946","151.681382526547","","","0",""
"278580","278580","Govetts Leap Rd Before Prince Edward St","-33.6378007141775","150.29104449555","","","0",""
"278530","278530","Hat Hill Rd Near Clarence Rd","-33.6283008962159","150.294066146682","","","0",""
"278520","278520","GWH Near Radiance Av","-33.6226484891699","150.277150661373","","","0",""
"2073125","2073125","Livingstone Av At Courallie Av","-33.7541099465197","151.136486881084","","","0",""
"278550","278550","Great Western Hwy Opp Blackheath Station","-33.6333156821589","150.284807048078","","","0",""
"278540","278540","Govetts Leap Rd Near Cleopatra St","-33.6368576100717","150.297678940039","","","0",""
"252793","252793","Church St Opp Severn Pl","-34.5767830707628","150.767155607459","","","0",""
"252783","252783","Tongarra Rd Near Ash Av","-34.5684507417036","150.800733540298","","","0",""
"252723","252723","Koda Rd At Elm St","-34.5721818138834","150.803605200173","","","0",""
"252713","252713","Albion Park Station, Princes Hwy","-34.5637423866716","150.798569247889","","","0",""
"252773","252773","Woollybutt Dr Near Nehme Av","-34.5690161672269","150.805715732622","","","0",""
"2121115","2121115","Mobbs Lane Near Edenlee St","-33.7823974611311","151.071443814509","","","0",""
"2150106","2150106","Parramatta Interchange - Stand B1","-33.8172609998587","151.004062022751","","","0",""
"2747386","2747386","Jordan Springs Blvd Opp McGarritys Pd","-33.7278943242416","150.721801496977","","","0",""
"2747186","2747186","Werrington Post Office Victoria St","-33.7575759090092","150.754320228001","","","0",""
"2120109","2120109","Elouera Rd Before Duffy Av","-33.7197027396393","151.065694778242","","","0",""
"2232192","2232192","The Boulevarde Near Mokera Av","-34.0255897340078","151.075205870362","","","0",""
"2120107","2120107","Elouera Rd Before Stringybark Cl","-33.7161739676491","151.066412319251","","","0",""
"2750376","2750376","Gardenia Av Near Bellbrook Av","-33.7478661265982","150.666113588504","","","0",""
"2750276","2750276","Sheppard Rd Near Vincent Av","-33.7504217351914","150.670786081415","","","0",""
"2750176","2750176","Maxwell St Near Parsons Av","-33.772207078834","150.688194497664","","","0",""
"2750476","2750476","Glenbrook St Near Romsley Rd","-33.7729227909478","150.681437425597","","","0",""
"2073131","2073131","Dunoon Av Opp Duneba Av","-33.7657789418698","151.138343000278","","","0",""
"2291130","2291130","Patrick St Near Burwood St","-32.9406476367089","151.76200299808","","","0",""
"2145388","2145388","24 Veron St","-33.8090893446099","150.977612041625","","","0",""
"2145288","2145288","Alpha Par Dahlia St Near Hibiscus St","-33.8322431660943","150.932580180071","","","0",""
"2145188","2145188","Burrabogee Rd Opp Birtles Av","-33.796748057285","150.961001764011","","","0",""
"2145488","2145488","Ringrose Av Near Gerald St","-33.8202599963937","150.958405655075","","","0",""
"2121203","2121203","Dunrossil Av After Pennant Pde","-33.7709492963535","151.057112628241","","","0",""
"2121103","2121103","Midson Rd Near Francis St","-33.7790844048985","151.072721896981","","","0",""
